X,Y
0.034139122,-10.53332743
-0.073778221,-9.655741527
-0.431251902,-8.155815247
-0.030148987,-10.87680358
-0.325995638,-8.003799407
0.15160864,-10.14646931
0.199577014,-9.030647447
0.388998737,-7.48176188
0.494977509,-6.555041318
-0.4534022,-7.197339252
-0.294280341,-8.09088252
-0.188165244,-9.771981153
-0.331337224,-8.637380956
0.260726698,-8.486548029
-0.234637488,-9.230318668
-0.397414481,-7.094848911
0.45412431,-6.750504217
0.489211498,-7.713099747
-0.483594997,-7.783236083
-0.289502788,-8.493286086
-0.231604722,-9.28741904
0.132513967,-10.11775004
0.374693791,-7.671081178
0.036184807,-9.852489285
0.193372965,-9.222241946
-0.269183526,-8.755424557
0.110284246,-9.644959953
0.418045605,-8.019097564
-0.380728179,-7.260798523
-0.283177827,-9.595934914
-0.149159951,-9.834083846
0.17540243,-10.10139832
-0.247451084,-9.376479907
0.099163399,-8.94844616
0.132311533,-8.972840634
0.498027469,-5.974566979
-0.282200944,-9.123911074
0.497661092,-6.735481078
0.496674897,-7.008683968
-0.184267591,-9.416240889
-0.288065285,-8.315364446
-0.191616128,-9.088701873
0.151317492,-9.875007318
-0.217759919,-8.932690067
0.477406122,-6.340811695
0.100109348,-9.518827668
-0.22019409,-8.639664941
0.433629281,-7.2464189
0.187175261,-9.284420069
0.442041238,-8.2706386
0.201356103,-9.662918886
0.430047777,-7.973824487
0.224963127,-8.367085238
-0.45066137,-8.291577849
-0.495626588,-6.910563119
0.408268461,-6.829146747
-0.237774354,-8.305145845
-0.002390775,-10.03763315
-0.309116931,-9.182037968
-0.005677373,-10.32974232
-0.108580059,-8.865809303
-0.48003352,-7.778154558
-0.002133565,-9.23423301
-0.29989514,-8.25211727
-0.202033724,-9.618212635
0.083433439,-9.401318679
-0.098966832,-10.34328784
-0.499889065,-7.41479644
0.347732875,-8.865020751
-0.358338594,-7.529206382
-0.369952059,-8.897229791
0.10754101,-9.978518995
0.184097847,-10.14750465
-0.333543412,-8.077475805
0.127786233,-10.36997312
0.010458952,-10.63347206
0.492316269,-7.037354603
0.295632914,-9.752515595
-0.287752878,-8.794913517
0.001186206,-10.4907441
0.161110257,-9.627869748
-0.088462079,-9.230088368
-0.366568246,-8.640503877
-0.224046362,-10.00234113
0.380869234,-8.262356586
-0.039131788,-9.528902851
-0.09100442,-10.63092204
-0.37146654,-7.181689246
-0.306059519,-9.59948708
0.236342548,-8.725110968
-0.233871905,-10.09949094
-0.039938405,-9.927961113
0.370241501,-8.839526825
-0.488752245,-7.308788382
-0.108978234,-9.95438299
0.395586832,-7.83062195
0.045505072,-10.68288229
0.01256837,-9.253615952
-0.214579369,-8.860689582
-0.143728419,-8.988866052
0.339939152,-8.038863551
0.223495701,-8.365328404
-0.408875787,-6.869726966
0.055540338,-9.42497994
-0.498827318,-6.137809295
0.013266403,-9.270117781
0.046125544,-10.67672805
0.164523215,-9.838384783
0.124866135,-10.77741496
-0.432612395,-7.789622038
-0.303905601,-9.467644926
0.324846758,-9.39594302
-0.390475696,-8.253642991
0.340035235,-9.054688015
-0.162410672,-9.08388688
0.324346844,-9.191085812
-0.301203009,-9.501754437
-0.473878868,-7.674913825
0.486789062,-6.077411041
0.370363692,-8.067833963
-0.089627079,-9.950274505
0.038614459,-9.242938371
-0.067703066,-9.300672816
0.199733372,-10.06838914
-0.266223574,-8.263717311
-0.02354841,-9.014184655
0.113504525,-8.97079475
-0.297369283,-9.009813143
0.082440787,-10.76663629
-0.395587637,-7.639967529
-0.194538976,-9.367976303
0.243844254,-9.84286381
0.427581346,-7.078004166
-0.270527115,-9.74236681
-0.290794843,-8.265477218
-0.258271064,-9.656927178
0.092460259,-10.57452106
0.25223819,-9.050983928
-0.093805367,-9.227251073
0.137955795,-10.57400603
-0.010511017,-9.889456864
0.152952791,-10.34058487
0.359448451,-9.023722381
0.045272708,-10.49756664
0.345659183,-8.727438542
-0.203350594,-8.823558243
0.23897668,-8.589204677
-0.225391623,-9.095054151
0.246084097,-9.864257968
0.322712089,-8.626884734
-0.213565862,-9.180321689
-0.488063693,-6.740864616
0.031580846,-10.54634282
0.256617787,-9.669009349
0.136888451,-10.06280433
-0.331350118,-7.864344793
0.206056682,-9.017917766
-0.372358724,-7.317281381
0.332113194,-7.956464248
-0.112795907,-10.51235598
-0.303381763,-8.285405119
-0.461963699,-7.079378994
0.06569994,-10.19756895
-0.267380832,-8.223063407
0.196974347,-10.24174278
-0.259228863,-8.598503767
0.438295033,-7.596017495
0.36345619,-7.375587299
-0.422630066,-7.717079662
-0.439010878,-8.10605225
-0.22286895,-9.009764657
-0.299763508,-9.426106516
-0.413848986,-8.537302295
-0.166350304,-10.4853963
0.115152564,-9.626194899
0.1228322,-10.70479343
-0.37768022,-8.817737544
0.136609499,-8.905643022
-0.172057752,-10.39486447
0.408126689,-8.505188092
-0.363929653,-8.663724503
0.273342341,-8.041258185
-0.3613239,-9.070500699
0.000201368,-10.12053665
-0.336484314,-8.113639175
-0.175409582,-10.15692505
-0.320523617,-8.493792521
0.252705327,-9.435342564
0.001566144,-9.712210066
0.331843889,-8.997175535
-0.386404776,-7.532776155
0.345797269,-7.511037041
-0.403926324,-7.947388729
0.030913061,-9.1000306
-0.454101964,-6.846759847
0.498997775,-6.295556891
-0.307292048,-9.062986764
-0.042124428,-9.60087422
0.36589684,-7.376302404
0.479991932,-6.0736615
